sim.id,variable,measurement,method,value
20,log_tau,mean,truth,2.23841772847049
20,mu,mean,mfvb,2.47371126461274
20,tau,mean,mfvb,8.7248168405522
20,log_tau,mean,mfvb,2.16418603614593
20,mu,sd,mfvb,0.0156716145505049
20,tau,sd,mfvb,0.549611799873579
20,log_tau,sd,mfvb,0.0630566245743312
20,mu,sd,lrvb,0.0245972908837076
20,tau,sd,lrvb,1.31641651204366
20,log_tau,sd,lrvb,0.150907974638023
20,mu,mean,mcmc,2.47490798339598
20,mu,sd,mcmc,0.0236391082480136
20,mu,effsize,mcmc,1249.36888873707
20,tau,mean,mcmc,9.60872238304522
20,tau,sd,mcmc,1.52408866686054
20,tau,effsize,mcmc,538.29441707184
20,log_tau,mean,mcmc,2.25035760628804
20,log_tau,sd,mcmc,0.156626648754365
21,mu,mean,truth,2.46461679109029
21,tau,mean,truth,4.08152192206666
21,log_tau,mean,truth,1.40646993897574
21,mu,mean,mfvb,2.44149108175414
21,tau,mean,mfvb,4.40817558602793
21,log_tau,mean,mfvb,1.48147546531283
21,mu,sd,mfvb,0.0220473940810439
21,tau,sd,mfvb,0.277688960384207
21,log_tau,sd,mfvb,0.0630566245743312
21,mu,sd,lrvb,0.0330609915974423
21,tau,sd,lrvb,0.616744681888027
21,log_tau,sd,lrvb,0.139937454492059
21,mu,mean,mcmc,2.44194702689762
21,mu,sd,mcmc,0.0335107643334566
21,mu,effsize,mcmc,1105.58193833193
21,tau,mean,mcmc,4.50393912013675
21,tau,sd,mcmc,0.644087261823354
21,tau,effsize,mcmc,545.216994688368
21,log_tau,mean,mcmc,1.49483670745182
21,log_tau,sd,mcmc,0.142282105651028
22,mu,mean,truth,1.78182131473628
22,tau,mean,truth,3.70795444277564
22,log_tau,mean,truth,1.31048036142954
22,mu,mean,mfvb,1.74049392190303
22,tau,mean,mfvb,3.1080712043308
22,log_tau,mean,mfvb,1.13201690302396
22,mu,sd,mfvb,0.0262564986858851
22,tau,sd,mfvb,0.195790082470005
22,log_tau,sd,mfvb,0.0630566245743312
22,mu,sd,lrvb,0.0404794878275197
22,tau,sd,lrvb,0.451851247560754
22,log_tau,sd,lrvb,0.145407066030435
22,mu,mean,mcmc,1.74068991273981
22,mu,sd,mcmc,0.0404236887395249
22,mu,effsize,mcmc,1079.32477468611
22,tau,mean,mcmc,3.11047383749062
22,tau,sd,mcmc,0.459233607316749
22,tau,effsize,mcmc,684.799137790502
22,log_tau,mean,mcmc,1.12402720842379
22,log_tau,sd,mcmc,0.146552432365732
23,mu,mean,truth,2.71729704816576
23,tau,mean,truth,1.25242219898191
23,log_tau,mean,truth,0.225079435466257
23,mu,mean,mfvb,2.70594095132947
23,tau,mean,mfvb,1.15711967404291
23,log_tau,mean,mfvb,0.14394843840929
23,mu,sd,mfvb,0.0430296599809163
23,tau,sd,mfvb,0.0728916879680406
23,log_tau,sd,mfvb,0.0630566245743312
23,mu,sd,lrvb,0.0595187980499429
23,tau,sd,lrvb,0.116840833168856
23,log_tau,sd,lrvb,0.101014613824775
23,mu,mean,mcmc,2.70646308173918
23,mu,sd,mcmc,0.0605179406374415
23,mu,effsize,mcmc,1309.22344636619
