sim.id,method,component,x
10,mcmc,4,0.000598597328762146
10,mcmc,5,0.00195861839365172
10,mcmc,6,0
10,mcmc,7,0.00221321932679277
10,mcmc,8,0.000463638243619515
10,mcmc,9,0.00283976196988176
10,mcmc,10,0.00221321932679277
10,mcmc,11,0
10,mcmc,12,0.227052426030256
10,mcmc,13,0.000598597328762146
10,mcmc,14,0.000463638243619515
10,mcmc,15,0.227052426030256
10,mcmc,16,0
